iter	Passed	Remaining
400	27451	41005
401	27509	40922
402	27587	40868
403	27667	40816
404	27739	40752
405	27823	40706
406	27918	40677
407	27989	40611
408	28038	40515
409	28099	40435
410	28153	40346
411	28234	40296
412	28314	40243
413	28363	40147
414	28414	40053
415	28460	39953
416	28505	39852
417	28561	39767
418	28614	39678
419	28660	39578
420	28709	39483
421	28757	39388
422	28814	39305
423	28861	39208
424	28904	39106
425	28952	39010
426	29000	38915
427	29060	38837
428	29108	38743
429	29159	38653
430	29206	38558
431	29257	38468
432	29313	38384
433	29364	38295
434	29412	38202
435	29461	38110
436	29508	38017
437	29570	37941
438	29620	37852
439	29667	37758
440	29714	37665
441	29761	37572
442	29826	37502
443	29873	37408
444	29922	37318
445	29972	37229
446	30021	37140
447	30080	37063
448	30128	36972
449	30177	36883
450	30225	36793
451	30288	36721
452	30339	36635
453	30386	36543
454	30453	36477
455	30540	36434
456	30612	36373
457	30664	36288
458	30717	36204
459	30775	36127
460	30832	36049
461	30883	35963
462	30926	35869
463	30975	35782
464	31044	35717
465	31096	35633
466	31148	35551
467	31197	35464
468	31247	35378
469	31310	35308
470	31364	35227
471	31413	35140
472	31465	35057
473	31512	34969
474	31579	34903
475	31632	34822
476	31682	34737
477	31732	34653
478	31788	34575
479	31847	34501
480	31894	34414
481	31941	34327
482	31988	34240
483	32038	34156
484	32092	34077
485	32144	33996
486	32193	33912
487	32240	33825
488	32286	33738
489	32371	33692
490	32417	33606
491	32470	33526
492	32517	33440
493	32571	33362
494	32632	33291
495	32685	33212
496	32768	33164
497	32837	33101
498	32909	33041
499	32961	32961
500	33014	32882
501	33065	32802
502	33119	32724
503	33181	32655
504	33231	32573
505	33279	32490
506	33328	32407
507	33391	32339
508	33446	32263
509	33494	32181
510	33569	32124
511	33644	32067
512	33722	32013
513	33800	31959
514	33872	31899
515	33948	31842
516	34016	31779
517	34085	31716
518	34158	31657
519	34233	31600
520	34342	31574
521	34434	31531
522	34503	31469
523	34592	31423
524	34663	31362
525	34730	31296
526	34798	31232
527	34892	31192
528	34958	31125
529	35045	31077
530	35133	31030
531	35216	30979
532	35285	30916
533	35340	30840
534	35408	30775
535	35472	30707
536	35542	30645
537	35625	30592
538	35678	30514
539	35728	30435
540	35780	30357
541	35830	30277
542	35901	30215
543	35976	30156
544	36040	30088
545	36086	30006
546	36145	29934
547	36202	29860
548	36474	29963
549	36542	29898
550	36609	29832
551	36683	29772
552	36767	29719
553	36847	29664
554	36920	29602
555	36985	29535
556	37063	29477
557	37131	29412
558	37217	29360
559	37328	29329
560	37405	29271
561	37480	29210
562	37542	29140
563	37608	29072
564	37683	29012
565	37780	28969
566	37850	28905
567	37921	28841
568	37985	28772
569	38054	28707
570	38117	28638
571	38195	28579
572	38279	28525
573	38347	28459
574	38414	28393
575	38493	28335
576	38587	28288
577	38707	28260
578	38768	28188
579	38819	28110
580	38872	28033
581	38928	27959
582	38983	27883
583	39035	27805
584	39090	27730
585	39148	27657
586	39212	27588
587	39259	27508
588	39310	27430
589	39359	27351
590	39424	27283
591	39474	27205
592	39552	27146
593	39654	27104
594	39745	27053
595	39794	26974
596	39847	26898
597	39910	26829
598	39970	26757
599	40014	26676
600	40063	26598
601	40108	26517
602	40170	26447
603	40218	26368
604	40269	26291
605	40323	26216
606	40372	26138
607	40431	26067
608	40483	25992
609	40533	25914
610	40584	25838
611	40633	25761
612	40694	25691
613	40744	25614
614	40794	25537
615	40840	25459
616	40890	25382
617	40951	25313
618	41006	25240
619	41058	25165
620	41109	25089
621	41154	25010
622	41218	24943
623	41270	24868
624	41320	24792
625	41366	24713
626	41418	24639
627	41480	24571
628	41539	24501
629	41589	24425
630	41641	24351
631	41691	24276
632	41751	24206
633	41797	24128
634	41847	24053
635	41939	24003
636	42022	23946
637	42085	23879
638	42138	23805
639	42202	23739
640	42249	23662
641	42301	23588
642	42355	23516
643	42408	23442
644	42476	23378
645	42530	23306
646	42578	23230
647	42627	23155
648	42678	23081
649	42742	23015
650	42796	22943
651	42841	22866
652	42893	22793
653	42943	22719
654	43002	22650
655	43052	22576
656	43106	22504
657	43157	22431
658	43222	22365
659	43272	22292
660	43324	22219
661	43381	22149
662	43440	22080
663	43496	22010
664	43547	21937
665	43600	21865
666	43669	21802
667	43724	21731
668	43775	21658
669	43853	21599
670	43920	21534
671	43967	21460
672	44017	21387
673	44068	21315
674	44130	21248
675	44199	21184
676	44282	21127
677	44357	21066
678	44408	20994
679	44467	20925
680	44529	20858
681	44583	20788
682	44629	20713
683	44681	20642
684	44747	20577
685	44806	20509
