iter	Logloss
0	0.6495684082
1	0.6056626752
2	0.5790489497
3	0.5565345953
4	0.5371232928
5	0.5198420949
6	0.5064972519
7	0.4961317003
8	0.485891139
9	0.4755126142
10	0.4694292256
11	0.4616818924
12	0.4557506271
13	0.4472394828
14	0.4418953592
15	0.4339061897
16	0.4306347872
17	0.4271655002
18	0.4235397069
19	0.4204122372
20	0.4119261815
21	0.4089147607
22	0.4047202597
23	0.4002797204
24	0.3953620317
25	0.3906909452
26	0.3829920365
27	0.3808960692
28	0.37925844
29	0.3779371227
30	0.3761006743
31	0.3733725863
32	0.3704191534
33	0.3664705821
34	0.3599432874
35	0.3540717701
36	0.350372853
37	0.3483422633
38	0.3414748933
39	0.3402077704
40	0.3393048613
41	0.3382091297
42	0.3374391784
43	0.3353117263
44	0.3347200797
45	0.3342198407
46	0.3326766382
47	0.3319860405
48	0.3313773146
49	0.3288350743
50	0.3265373528
51	0.3261434151
52	0.325474989
53	0.3223888435
54	0.32106676
55	0.3202356974
56	0.3197892049
57	0.3177641374
58	0.3160233847
59	0.3151657976
60	0.3136844751
61	0.3109140312
62	0.3099692869
63	0.308481818
64	0.3079416369
65	0.3074908003
66	0.3069199783
67	0.3057448214
68	0.3045568187
69	0.3039459754
70	0.3036563605
71	0.3024060165
72	0.301140209
73	0.3002438529
74	0.2987546599
75	0.2973990307
76	0.2952111948
77	0.2949378567
78	0.2937432095
79	0.2927604778
80	0.2924453749
81	0.2912472721
82	0.2890445663
83	0.2886714692
84	0.2883948125
85	0.287466953
86	0.2859843463
87	0.28543381
88	0.2851982878
89	0.2848468417
90	0.2833960536
91	0.2829627603
92	0.2827289167
93	0.2815459221
94	0.2799873427
95	0.2782518038
96	0.2777652133
97	0.2766321697
98	0.2764049995
99	0.274903552
100	0.274168985
101	0.2739008358
102	0.2733501728
103	0.2731131613
104	0.2728308044
105	0.2721524159
106	0.2712653552
107	0.2706200126
108	0.2698967859
109	0.2694873712
110	0.2683448593
111	0.2680720938
